VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-02-01 00:00:36,2016-02-01 00:02:35,1,.20,-73.961158752441406,40.771820068359375,1,N,-73.957405090332031,40.773441314697266,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2016-02-01 00:00:36,2016-02-01 00:15:14,1,3.90,-73.984001159667969,40.725433349609375,1,N,-73.951812744140625,40.766036987304688,1,14.5,0.5,0.5,3.15,0,0.3,18.95
2,2016-02-01 00:00:37,2016-02-01 00:24:28,1,2.18,-73.99169921875,40.752670288085938,1,N,-73.994216918945313,40.753494262695313,2,15.5,0.5,0.5,0,0,0.3,16.8
1,2016-02-01 00:00:38,2016-02-01 00:33:45,2,18.10,-73.782234191894531,40.644691467285156,2,N,-73.99029541015625,40.766933441162109,1,52,0,0.5,10.55,0,0.3,63.35
1,2016-02-01 00:00:39,2016-02-01 00:05:20,1,1.10,-73.978263854980469,40.788196563720703,1,N,-73.982139587402344,40.772186279296875,1,6,0.5,0.5,1.5,0,0.3,8.8
2,2016-02-01 00:00:39,2016-02-01 00:07:33,6,1.12,-73.989799499511719,40.762271881103516,1,N,-73.991119384765625,40.750225067138672,1,6.5,0.5,0.5,0.5,0,0.3,8.3
2,2016-02-01 00:00:39,2016-02-01 00:04:15,1,.66,-73.993324279785156,40.733261108398437,1,N,-74.001335144042969,40.731193542480469,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2016-02-01 00:00:39,2016-02-01 00:05:37,5,1.10,-73.992500305175781,40.714008331298828,1,N,-74.006149291992188,40.709758758544922,2,6,0.5,0.5,0,0,0.3,7.3
1,2016-02-01 00:00:40,2016-02-01 00:03:49,1,.90,-74.007522583007812,40.726657867431641,1,N,-74.002922058105469,40.739501953125,1,5,0.5,0.5,1.25,0,0.3,7.55
1,2016-02-01 00:00:40,2016-02-01 00:06:48,1,2.20,-74.007316589355469,40.704990386962891,1,N,-74.011260986328125,40.723728179931641,1,8.5,0.5,0.5,1.95,0,0.3,11.75
2,2016-02-01 00:00:40,2016-02-01 00:11:55,5,3.23,-73.955436706542969,40.772750854492188,1,N,-73.987228393554688,40.742969512939453,1,12,0.5,0.5,2.66,0,0.3,15.96
1,2016-02-01 00:00:41,2016-02-01 00:06:10,1,1.70,-73.978675842285156,40.757194519042969,1,N,-73.960342407226562,40.769649505615234,1,7,0.5,0.5,1.7,0,0.3,10
1,2016-02-01 00:00:42,2016-02-01 00:03:51,1,.80,-73.923660278320313,40.753276824951172,1,N,-73.924232482910156,40.74371337890625,2,5,0.5,0.5,0,0,0.3,6.3
1,2016-02-01 00:00:42,2016-02-01 00:36:17,2,19.00,-73.97186279296875,40.794509887695313,1,N,-73.866973876953125,40.882469177246094,3,52,0.5,0.5,0,0,0.3,53.3
2,2016-02-01 00:00:42,2016-02-01 00:16:31,5,4.18,-73.991111755371094,40.717464447021484,1,N,-73.95697021484375,40.688533782958984,1,15.5,0.5,0.5,3.36,0,0.3,20.16
